#Time	#Ge	#Inet	#Vm	#Act	#Spike	#Gk	#ISI	#AvgISI	#VmDend	#NMDA	#Gnmda	#GABAB	#GgabaB	#Gvgcc	#VGCCm	#VGCCh	#VGCCJcaPSD	#VGCCJcaCyt	#Gak	#AKm	#AKh	#VmS	#PreSpike	#Ds	#Ps	#Wt	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaMact	#PSD_CaMact	#Cyt_CaMKIIact	#Cyt_CaMKII	#Cyt_CaMKIIP	#PSD_CaMKIIact	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKIIn2b	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_Ca0CaM_DAPK1	#Cyt_Ca1CaM_DAPK1	#Cyt_Ca0CaM_DAPK1P	#Cyt_Ca1CaM_DAPK1P	#Cyt_DAPK1	#Cyt_DAPK1P	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_Ca0CaM_DAPK1	#PSD_Ca1CaM_DAPK1	#PSD_Ca0CaM_DAPK1P	#PSD_Ca1CaM_DAPK1P	#PSD_DAPK1	#PSD_DAPK1P	#PSD_DAPK1_AutoK	#PSD_DAPK1n2b	#PSD_N2B_Ca0CaM_DAPK1	#PSD_N2B_Ca1CaM_DAPK1	#PSD_N2B_Ca0CaM_DAPK1P	#PSD_N2B_Ca1CaM_DAPK1P	#PSD_N2B_DAPK1	#PSD_N2B_DAPK1P	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
0.1	0.0977515	-0.0228258	0.495652	0.326459	0	0.0315906	6	17.0176	0.417423	71.3843	0	0.507186	0	0.00308057	0.0578429	0.878635	1063.69	618.622	0	0.483322	0.00206058	-48.1523	0	1.29551	1.41019	1	0.10732	0.0231282	11004	0.024826	0.055978	0.868317	0.0757046	7.69305	0.634636	1.02975	0.0742194	0.104205	1.46037	17.5688	1.54077e-11	3.82863	16.8259	4.18438e-10	2.88992	0.00179802	4.75292e-10	0.0819431	0.0632744	0.0132839	0.545534	0.0701937	0.00453765	19.2081	0.00447783	0.186027	0.0262504	0.00943374	0.522955	0.0924943	0.00279941	19.1948	0.0176744	0.148294	0.0976073	0.039051	0.000109925	9.82647e-05	0.0022312	8.99915e-05	0.596988	0.683137	0.105436	0.0634094	0.0341637	0.305809	0.0642757	0.0341635	0.287248	0.0324164	0.287967	0.194593	6.00487	0.0408863	0.4519	3.364
0.11	0.0925306	0.00153151	0.512988	0.326459	0	0.0284508	16	17.0176	0.510124	74.981	0	0.547866	0	1.63389e-07	0.00223609	0.914553	0.0572496	0.0332953	0	0.483322	0.00189102	-48.8633	0	1.33625	1.45393	1	0.103169	0.0159601	7397.1	0.0164689	0.110169	0.856137	0.0336936	6.64567	0.192684	0.569894	0.0048261	0.0119001	1.48162	17.5153	2.08777e-11	3.80709	16.9554	5.32992e-10	2.97481	0.00185208	6.10105e-10	0.0805601	0.0699241	0.00640066	0.543535	0.0729092	0.00514141	19.1907	0.00447656	0.196889	0.0329574	0.00601499	0.525982	0.0920194	0.00401448	19.1797	0.0176388	0.155913	0.124843	0.0245011	0.000127196	0.000106655	0.00331241	0.000101377	0.618786	0.667538	0.106951	0.0754719	0.0340866	0.306474	0.0763349	0.0340862	0.282973	0.0327887	0.284114	0.196712	6.00491	0.0409784	0.4523	3.36305
0.12	0.0918845	0.000393672	0.519446	0.2495	0	0.025764	26	22.2668	0.517225	78.2338	0	0.583867	0	1.21712e-11	9.70651e-05	0.939842	4.1972e-06	2.44101e-06	0	0.483322	0.00181487	-48.0905	0	1.3635	1.48294	1	0.107687	0.0113034	5389.99	0.0121743	0.18418	0.793622	0.0221972	5.84056	0.126255	0.409895	0.00147959	0.00442976	1.47664	17.4992	2.75927e-11	3.77649	17.087	6.6726e-10	3.04107	0.00189387	7.71042e-10	0.0795239	0.0711576	0.00354163	0.543174	0.0749395	0.00616098	19.173	0.00447442	0.206906	0.0365313	0.00442606	0.529701	0.0915029	0.00559415	19.1644	0.0176031	0.163325	0.138595	0.0180237	0.000139189	0.000114159	0.00461954	0.000110372	0.621811	0.651903	0.106184	0.0872052	0.0340302	0.304152	0.0880616	0.0340298	0.279299	0.0331747	0.280662	0.198931	6.00496	0.0410704	0.452698	3.3621
0.13	0.105561	0.00174825	0.546665	0.184642	0	0.0234533	36	30.0883	0.54029	81.1756	0	0.615488	0	1.85108e-12	8.25407e-05	0.957642	6.03898e-07	3.51215e-07	0	0.483322	0.00178067	-45.4958	0	1.51016	1.64217	1	0.124149	0.0814316	42601.7	0.101115	0.129175	0.746003	0.124822	5.19052	0.36934	2.65745	0.0480264	0.255783	1.48823	17.4637	4.01621e-11	3.88241	17.026	9.93791e-10	3.09547	0.00192913	1.16651e-09	0.0790194	0.0673645	0.00584649	0.542265	0.0776891	0.00671903	19.1555	0.00447174	0.217458	0.0251811	0.0136744	0.523461	0.0988595	0.00457671	19.1484	0.017569	0.173916	0.0893793	0.053648	0.000137518	0.000129526	0.00371608	0.00011874	0.640758	0.751173	0.107397	0.0986663	0.0339888	0.31466	0.0995589	0.0339884	0.27608	0.0335583	0.27722	0.201184	6.005	0.0411625	0.453096	3.36115
0.14	0.101014	2.76896e-05	0.549728	0.143268	0	0.0214553	46	38.7773	0.53999	83.8361	0	0.643088	0	1.31754e-11	0.00013198	0.970162	4.25106e-06	2.47234e-06	0	0.483322	0.0017653	-44.9953	0	1.6556	1.79999	1	0.127562	0.0553366	29456.3	0.070602	0.107143	0.791019	0.101838	4.58335	0.350194	1.91831	0.0376699	0.154139	1.53279	17.3865	5.25189e-11	4.04473	16.8806	1.20861e-09	3.14687	0.00196267	1.42533e-09	0.0790681	0.0658752	0.00735593	0.540326	0.0812724	0.0065176	19.1375	0.00446871	0.227586	0.0290322	0.0148832	0.518409	0.105061	0.00347309	19.1298	0.0175352	0.1801	0.0984455	0.056634	0.000149691	0.000141649	0.00278202	0.000129802	0.686302	0.825219	0.111604	0.110472	0.0339582	0.332872	0.111426	0.0339578	0.272739	0.0339412	0.273517	0.203513	6.00505	0.0412545	0.453493	3.36021
0.15	0.0974632	-0.000151485	0.545114	0.116757	0	0.0197182	56	47.5824	0.536652	86.2422	0	0.667046	0	5.97119e-12	9.89761e-05	0.978983	1.94585e-06	1.13167e-06	0	0.483322	0.00175841	-45.4443	0	1.75608	1.90869	1	0.124496	0.0384849	20169.6	0.0479207	0.1037	0.821919	0.0743806	4.06305	0.275432	1.34657	0.017572	0.0663047	1.5575	17.3377	6.17981e-11	4.08945	16.8842	1.37625e-09	3.19218	0.00199172	1.61453e-09	0.0793159	0.0669766	0.00652098	0.538887	0.0847621	0.00687335	19.1183	0.0044651	0.236585	0.0350039	0.0131479	0.517687	0.108281	0.00417261	19.1103	0.0175	0.185182	0.118786	0.0496351	0.000164808	0.000151131	0.00334776	0.000140681	0.720442	0.831174	0.113507	0.122478	0.0339353	0.339983	0.123456	0.0339349	0.26932	0.0343321	0.270164	0.205888	6.00509	0.0413466	0.453889	3.35926
0.16	0.0952138	2.94275e-05	0.542012	0.0988728	0	0.0181993	66	56.1889	0.534796	88.4182	0	0.687746	0	2.80353e-12	7.77442e-05	0.985197	9.20308e-07	5.35234e-07	0	0.483322	0.00175531	-45.7785	1	1.82984	1.98822	1.03052	0.122256	0.0689031	35651.7	0.0841559	0.113826	0.819329	0.0668447	3.65183	0.267238	2.11459	0.00868003	0.0490192	1.56478	17.3141	7.13853e-11	4.08098	16.9514	1.56742e-09	3.2296	0.00201545	1.82812e-09	0.0797894	0.0682025	0.00535803	0.538254	0.0880106	0.00766114	19.0984	0.00446086	0.244962	0.0388348	0.0114892	0.519186	0.110229	0.00557971	19.0909	0.0174637	0.190602	0.132395	0.0426154	0.000177319	0.000158391	0.00445686	0.000149691	0.73953	0.82047	0.113726	0.134343	0.0339178	0.341063	0.135325	0.0339174	0.266103	0.0347279	0.267159	0.20825	6.00514	0.0414386	0.454285	3.35832
0.17	0.102157	0.00181312	0.564641	0.0873066	0	0.0168635	76	63.6327	0.548878	90.3861	0	0.705557	0	6.92346e-11	0.000249166	0.989535	2.16807e-05	1.26091e-05	0	0.483322	0.00175391	-43.6699	0	1.97418	2.14468	1.03052	0.136991	0.057329	31923.3	0.0785508	0.0920112	0.799522	0.108467	3.31523	0.341063	2.04863	0.0363937	0.162553	1.58913	17.2694	8.98265e-11	4.18332	16.8639	2.01788e-09	3.26164	0.00203672	2.35548e-09	0.0807141	0.0669448	0.00687857	0.537239	0.0917879	0.00791968	19.0782	0.00445615	0.254043	0.0334666	0.0170194	0.51513	0.11643	0.0047461	19.071	0.0174278	0.198604	0.109403	0.0607406	0.000180485	0.000170705	0.00374133	0.000158256	0.770033	0.892541	0.115811	0.146093	0.0339043	0.352947	0.147116	0.0339039	0.263078	0.035121	0.264039	0.210592	6.00518	0.0415307	0.454679	3.35737
0.18	0.0987748	0.00190269	0.57514	0.0773367	0	0.0156818	86	71.836	0.548823	92.1659	0	0.720827	0	1.48152e-10	0.000298644	0.992552	4.52525e-05	2.6318e-05	0	0.483322	0.00175329	-42.5959	0	2.08311	2.26243	1.03052	0.145055	0.0390536	22533.3	0.0566599	0.0889804	0.828178	0.0828419	3.02239	0.289937	1.48947	0.0210565	0.0824813	1.61585	17.223	1.04068e-10	4.24058	16.8306	2.26042e-09	3.29073	0.00205564	2.62647e-09	0.0819345	0.0680349	0.00694844	0.536272	0.0957166	0.00816595	19.0572	0.00445099	0.262422	0.0390738	0.0161576	0.514418	0.12027	0.00500544	19.0498	0.017391	0.202888	0.12539	0.0565818	0.000192742	0.000179241	0.00391698	0.000167457	0.80262	0.914109	0.117921	0.157991	0.0338935	0.361257	0.159041	0.0338931	0.260017	0.0355137	0.260941	0.212956	6.00523	0.0416227	0.455073	3.35643
0.19	0.0970128	0.0376361	0.649466	0.068489	0	0.0146304	96	81.116	0.562272	93.7755	0	0.733877	0	2.50542e-10	0.000413081	0.994636	6.94188e-05	4.03726e-05	0	0.483322	0.00175301	-38.6393	0	2.16164	2.34699	1.03052	0.178197	0.0272237	17761.5	0.0485201	0.0971819	0.838893	0.0639251	2.7903	0.235894	1.18154	0.0106441	0.0418537	1.62705	17.1986	1.16441e-10	4.23818	16.8716	2.48875e-09	3.3156	0.0020715	2.87419e-09	0.0833136	0.0700141	0.0060112	0.535983	0.099458	0.00889551	19.0355	0.00444528	0.270183	0.0445273	0.0140527	0.516214	0.122613	0.00629326	19.0284	0.0173529	0.20726	0.142458	0.0486211	0.000204411	0.000185559	0.00488829	0.00017548	0.822788	0.907471	0.118442	0.169801	0.0338847	0.363352	0.170859	0.0338842	0.257071	0.0359074	0.258128	0.215309	6.00527	0.0417147	0.455467	3.35548
