#Time	#Ge	#Inet	#Vm	#Act	#Spike	#Gk	#ISI	#AvgISI	#VmDend	#Gnmda	#RnmdaSyn	#RCa	#SnmdaO	#SnmdaI	#NMDAGmg	#GABAB	#GgabaB	#Gvgcc	#VGCCm	#VGCCh	#VGCCJcaPSD	#VGCCJcaCyt	#Gak	#AKm	#AKh	#LearnNow	%NMDAo	%NMDAi	%Ca	%Ds	%Ps	%CaM	%CaP	%CaD	%RCaM	%RCaP	%RCaD	%SCa	%SCaM	%SCaP	%SCaD	%Wt	%DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaMact	#PSD_CaMact	#Cyt_CaMKIIact	#Cyt_CaMKII	#Cyt_CaMKIIP	#PSD_CaMKIIact	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKIIn2b	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_Ca0CaM_DAPK1	#Cyt_Ca1CaM_DAPK1	#Cyt_Ca0CaM_DAPK1P	#Cyt_Ca1CaM_DAPK1P	#Cyt_DAPK1	#Cyt_DAPK1P	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_Ca0CaM_DAPK1	#PSD_Ca1CaM_DAPK1	#PSD_Ca0CaM_DAPK1P	#PSD_Ca1CaM_DAPK1P	#PSD_DAPK1	#PSD_DAPK1P	#PSD_DAPK1_AutoK	#PSD_DAPK1n2b	#PSD_N2B_Ca0CaM_DAPK1	#PSD_N2B_Ca1CaM_DAPK1	#PSD_N2B_Ca0CaM_DAPK1P	#PSD_N2B_Ca1CaM_DAPK1P	#PSD_N2B_DAPK1	#PSD_N2B_DAPK1P	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
0.064	0.356459	0.117328	0.591582	0.518474	0	0.0314181	8	10.7152	0.580846	0	4.53233	0.676061	0.932065	0	0.219268	0.80459	0	0.0111465	0.0989854	0.657943	4396.12	2556.7	0	0.483322	0.00175278	-1	0.0822595	0.99	1.65519	0.316703	0.35537	2.39932	0.788113	0.201619	2.39932	0.788113	0.201619	1.65519	2.39932	0.788113	0.201619	0.5	0	-55	0	0.0728998	0.0562775	20549.3	0.0410308	0.0103176	0.849744	0.139938	24	1.54394	2.1202	1.70982	1.7106	6.65707	9.64989	4.48176e-10	11.7775	10.1839	3.54297e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.00595	1.98509	0.819106	0.196221	0.0396883	0.739658	0.195884	0.0396891	0.815233	0.0113343	0.81681	0.0679803	6.17239	0.317773	0.318673	1.71991
0.065	0.27948	0.13349	0.731507	0.518474	0	0.0310602	9	10.7152	0.601332	0	4.48701	0.700481	0.922745	0	0.403206	0.80459	0	0.00327689	0.0773241	0.649791	959.697	558.141	0	0.483322	0.00175278	-1	0.0795175	0.9801	2.01481	0.319705	0.358712	1.94345	0.822734	0.212053	1.94345	0.822734	0.212053	2.01481	1.94345	0.822734	0.212053	0.5	0	-40.8418	0	0.15907	0.0543386	33162.1	0.0864542	0.0105807	0.848779	0.14064	24	1.14016	2.58821	1.2509	1.48548	6.70475	9.54857	4.86533e-10	11.9852	10.0583	3.91527e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.01515	2.00766	0.828656	0.203306	0.0396875	0.75095	0.202974	0.0396883	0.809806	0.0113986	0.811425	0.0683648	6.17239	0.317772	0.318667	1.71992
0.066	0.230121	0.97374	0.97	0.525489	1	0.0392562	0	10.5722	0.706394	0	4.44214	0.722705	0.913517	0	0.616664	0.80459	0	0.00111428	0.333612	0.627385	214.532	124.768	0	0.483322	0.00175278	-1	0.0768669	0.970299	1.4127	0.321742	0.360968	4.81227	0.882185	0.223241	4.81227	0.882185	0.223241	1.4127	4.81227	0.882185	0.223241	0.5	0	-26.8493	0	0.310533	0.0520259	44770.8	0.161593	0.0107397	0.838756	0.150504	24	0.993031	3.14658	0.931924	1.37797	6.72939	9.47768	5.18602e-10	12.1819	9.94859	4.28204e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.02203	2.03253	0.835403	0.21045	0.0396866	0.760888	0.210129	0.0396874	0.804458	0.0114638	0.80606	0.0687543	6.1724	0.317771	0.318662	1.71993
0.067	0.238397	-0.173333	0.796667	0.525489	0	0.0387989	1	10.5722	0.623437	0	4.39772	0.798869	1	1	0.875889	0.80459	0	0.041327	0	0.605751	889.042	517.05	0	0.483322	0.00175278	-1	0.0743047	0.960596	3.78478	0.327572	0.367492	3.89794	0.931516	0.235054	3.89794	0.931516	0.235054	3.78478	3.89794	0.931516	0.235054	0.5	0	-3	0	0.663967	0.0497267	43763.3	0.330244	0.0109938	0.832827	0.156179	24	0.968692	3.09388	0.726598	1.25102	6.73897	9.42665	5.47465e-10	12.3706	9.85038	4.64484e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.02817	2.05511	0.840303	0.217633	0.0396857	0.769884	0.217328	0.0396865	0.79919	0.0115297	0.800723	0.0691486	6.1724	0.317771	0.318656	1.71993
0.068	0.187802	-0.115556	0.681111	0.525489	0	0.0383493	2	10.5722	0.562364	0	4.35374	0.732261	0.99	0	0.706697	0.80459	0	0	0.277778	0.584863	0	0	0	0.483322	0.00175278	-1	0.0718278	0.95099	3.55657	0.333033	0.373599	3.15733	0.971144	0.247369	3.15733	0.971144	0.247369	3.55657	3.15733	0.971144	0.247369	0.5	0	-20.3333	0	0.402841	0.0475038	44439.4	0.191408	0.0113201	0.829628	0.159052	24	0.833772	3.06088	0.580689	1.12504	6.73866	9.38866	5.75457e-10	12.5506	9.7645	4.99737e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.03313	2.0754	0.843978	0.224842	0.0396847	0.777861	0.224555	0.0396855	0.794003	0.0115963	0.79543	0.0695476	6.1724	0.31777	0.318649	1.71994
0.069	0.192022	-0.077037	0.604074	0.525489	0	0.0379071	3	10.5722	0.519929	0	4.3102	0.63223	0.9801	0	0.540649	0.80459	0	0.0526991	0.47673	0.564695	12050.6	7008.42	0	0.483322	0.00175278	-1	0.0694336	0.94148	3.65641	0.33865	0.379882	2.55744	1.00166	0.26007	2.55744	1.00166	0.26007	3.65641	2.55744	1.00166	0.26007	0.5	0	-31.8889	0	0.247855	0.0453712	35320.8	0.112481	0.0116342	0.82838	0.159985	24	1.82225	3.05112	0.575847	1.03234	6.73385	9.35656	6.07894e-10	12.7226	9.68968	5.34599e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.0448	2.09372	0.847084	0.232068	0.0396837	0.784928	0.231799	0.0396845	0.788886	0.0116635	0.790191	0.0699508	6.1724	0.317769	0.318643	1.71994
0.07	0.41139	-0.051358	0.552716	0.525489	0	0.0374723	4	10.5722	0.509706	0	4.2671	0.545176	0.970299	0	0.421975	0.80459	0	0.306028	0.363643	0.547172	86884.7	50530.5	0	0.483322	0.00175278	-1	0.0671191	0.932065	5.6831	0.347506	0.389808	2.07152	1.02375	0.273046	2.07152	1.02375	0.273046	5.6831	2.07152	1.02375	0.273046	0.5	0	-39.5926	0	0.169705	0.0433208	27473.9	0.073535	0.0105676	0.787624	0.201808	24	8.65542	5.93935	2.20691	1.89283	6.76506	9.27632	6.75297e-10	12.9106	9.59393	5.83003e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.10361	2.13097	0.854629	0.239322	0.0396827	0.794068	0.239065	0.0396835	0.783745	0.0117312	0.784979	0.0703582	6.1724	0.317769	0.318636	1.71995
0.071	0.228018	-0.0342387	0.518477	0.525489	0	0.0370446	5	10.5722	0.486395	0	4.22443	0.517331	0.960596	0	0.346809	0.80459	0	0.146196	0.262753	0.562767	46890.8	27270.8	0	0.483322	0.00175278	-1	0.0648818	0.922745	3.68738	0.353163	0.396133	1.67793	1.03817	0.28619	1.67793	1.03817	0.28619	3.68738	1.67793	1.03817	0.28619	0.5	0	-44.7284	0	0.129416	0.041329	22203.8	0.0534988	0.0101509	0.783835	0.206015	24	5.60826	4.21292	3.23739	2.61546	6.88179	9.08172	7.85258e-10	13.1508	9.42987	6.55752e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.14825	2.161	0.87283	0.246685	0.0396816	0.809687	0.246423	0.0396824	0.778507	0.0117997	0.779753	0.0707697	6.1724	0.317768	0.318629	1.71996
0.072	0.125237	-0.0228258	0.495652	0.525489	0	0.0366239	6	10.5722	0.460408	0	4.18218	0.463665	0.95099	0	0.300404	0.80459	0	0.0605789	0.18977	0.577844	20917.3	12165.1	0	0.483322	0.00175278	-1	0.0627191	0.913517	2.5492	0.356994	0.400405	1.35913	1.04569	0.299403	1.35913	1.04569	0.299403	2.5492	1.35913	1.04569	0.299403	0.5	0	-48.1523	0	0.10732	0.0394131	18752.8	0.042308	0.0101954	0.800672	0.189132	24	3.32627	2.93851	3.06377	2.66512	7.01601	8.8632	9.0221e-10	13.4129	9.23916	7.37844e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.17546	2.18254	0.893385	0.25422	0.0396805	0.827862	0.253947	0.0396813	0.773248	0.0118689	0.77454	0.0711854	6.1724	0.317767	0.318622	1.71996
0.073	0.0760931	-0.0456516	0.45	0.525489	0	0.0362102	7	10.5722	0.436982	0	4.14036	0.404821	0.94148	0	0.271526	0.80459	0	0.0244403	0.137057	0.592401	8839.03	5140.61	0	0.483322	0.00175278	-1	0.0606285	0.904382	2.08402	0.360079	0.403836	1.10089	1.04707	0.31259	1.10089	1.04707	0.31259	2.08402	1.10089	1.04707	0.31259	0.5	0	-50.4348	0	0.0944959	0.0375897	16424.5	0.0355291	0.0105496	0.822746	0.166704	24	2.11852	2.21816	2.45672	2.30827	7.12309	8.68027	1.0066e-09	13.6643	9.06515	8.17068e-09	0	0	0	0.0741831	0.001461	2.24e-05	0.5958	0.02959	0.09693	19.27	0.00447039	0.0820769	0.001143	1.753e-05	0.5959	0.02959	0.0984	19.26	0.0178629	0.00727977	0.006541	8.476e-05	1.593e-06	2.105e-07	0.0006504	1.938e-07	2.19179	2.19798	0.910723	0.261915	0.0396793	0.844513	0.261637	0.0396801	0.76802	0.0119389	0.769365	0.0716054	6.1724	0.317767	0.318614	1.71997
